,Nama_Produk,Lokasi,Tahun,Price,Wilayah,Merek,Model,Periode,Usia,Harga_Terkoreksi,Merek_encoded,Model_encoded
30,[LOW KM] Wuling Air EV Standard Range Lite Listrik Putih NIK 2024/2025,"Kebayoran Baru, Jakarta Selatan",2024,145000000,Jakarta Selatan,Wuling,Air,2023-2027,1,130500000,11,18
31,Honda Brio 2013 E 1.2 AT KM Low Record Istimewa Banget,"Pasar Minggu, Jakarta Selatan",2013,100000000,Jakarta Selatan,Honda,Brio,2013-2017,12,28242954,2,31
32,Futuristik! Mercedes GLC200 AMG Facelift 2021 x3 cla200 c300 320i,"Kebayoran Baru, Jakarta Selatan",2021,675000000,Jakarta Selatan,Mercedes,Glc200,2018-2022,4,442867500,6,76
33,Nissan Juke revolt 2016,"Pesanggrahan, Jakarta Selatan",2016,159000000,Jakarta Selatan,Nissan,Juke,2013-2017,9,61599858,8,95
34,[LOW KM] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2022/2023,"Cilandak, Jakarta Selatan",2022,1023000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,745767000,10,21
35,[PILOT SEAT] Toyota Alphard 2.5 G ATPM TSS AT Black On Beige 2021/2022,"Kebayoran Baru, Jakarta Selatan",2021,895000000,Jakarta Selatan,Toyota,Alphard,2018-2022,4,587209500,10,21
36,Pajak Panjang - Toyota Yaris 1.5 TRD Sportivo Bensin-MT 2013(KO),"Pulo Gadung, Jakarta Timur",2013,123000000,Jakarta Timur,Toyota,Yaris,2013-2017,12,34738833,10,169
37,Pajak Panjang - Honda Mobilio 1.5 RS Bensin-MT 2020(GV),"Pulo Gadung, Jakarta Timur",2020,182000000,Jakarta Timur,Honda,Mobilio,2018-2022,5,107469180,2,113
38,Pajak Panjang - Nissan Livina 1.5 New VL Bensin-AT 2019(SYZ),"Pulo Gadung, Jakarta Timur",2019,178000000,Jakarta Timur,Nissan,Livina,2018-2022,6,94596498,8,103
39,DP Rendah - Daihatsu Xenia 1.3 R Bensin-MT 2014(TID),"Pulo Gadung, Jakarta Timur",2014,106000000,Jakarta Timur,Daihatsu,Xenia,2013-2017,11,33263923,1,164
40,DP Rendah - Toyota Raize 1.0 Turbo G Bensin-MT 2022(KZQ),"Pulo Gadung, Jakarta Timur",2022,164000000,Jakarta Timur,Toyota,Raize,2018-2022,3,119556000,10,122
41,HONDA CRV 2.4 AT 2012 MOBIL TERAWAT HARGA MURAH SIAP PAKAI,"Mampang Prapatan, Jakarta Selatan",2012,118500000,Jakarta Selatan,Honda,Honda,2008-2012,13,30121110,2,84
42,Mitsubishi Pajero Sport Dakar 2.5 AT 2023,"Pesanggrahan, Jakarta Selatan",2023,520000000,Jakarta Selatan,Mitsubishi,Pajero,2023-2027,2,421200000,7,119
43,Gagah Max! BMW X5 xDrive35i xLine 2015 white ml400 528i e400,"Kebayoran Baru, Jakarta Selatan",2019,385000000,Jakarta Selatan,BMW,X5,2018-2022,6,204604785,0,161
44,"SUZUKI SX4 X-OVER RC1 AT 2012 ANGSURAN 2,6 AJA","Cilandak, Jakarta Selatan",2012,80000000,Jakarta Selatan,Suzuki,Suzuki,2008-2012,13,20334927,9,142
45,2023 Mercedes-AMG SL43 Roadster LOW KM,"Kebayoran Baru, Jakarta Selatan",2023,3400000000,Jakarta Selatan,Mercedes,-Amg,2023-2027,2,2754000000,6,0
46,Toyota Innova Venturer Diesel Solar 2.4 2020 type G VRZ Type V Bensin,"Cilandak, Jakarta Selatan",2020,388000000,Jakarta Selatan,Toyota,Innova,2018-2022,5,229110120,10,90
47,Toyota Nav1 G AT Matic Pajak Panjang Hidup,"Pesanggrahan, Jakarta Selatan",2014,125000000,Jakarta Selatan,Toyota,Nav1,2013-2017,11,39226325,10,115
48,Pajak Panjang - Daihatsu Terios 1.5 R Bensin-MT 2017(FZR),"Pulo Gadung, Jakarta Timur",2017,126000000,Jakarta Timur,Daihatsu,Terios,2013-2017,8,54238868,1,145
49,Pajak Panjang - Toyota Raize 1.0 G One Tone Bensin-MT 2021(KZK),"Pulo Gadung, Jakarta Timur",2021,152000000,Jakarta Timur,Toyota,Raize,2018-2022,4,99727200,10,122
50,Pajak Panjang - Toyota Vios 1.5 G Bensin-AT 2014(PBI),"Pulo Gadung, Jakarta Timur",2014,123000000,Jakarta Timur,Toyota,Vios,2013-2017,11,38598703,10,153
51,Pajak Panjang - Toyota Rush 1.5 TRD Sportivo Bensin-MT 2018(ZKJ),"Pulo Gadung, Jakarta Timur",2018,198000000,Jakarta Timur,Toyota,Rush,2018-2022,7,94702786,10,124
52,Pajak Panjang - Toyota Rush 1.5 S GR Sport Bensin-MT 2021(DFA),"Pulo Gadung, Jakarta Timur",2021,221000000,Jakarta Timur,Toyota,Rush,2018-2022,4,144998100,10,124
53,Toyota Rush S TRD Tahun 2014 Automatic Putih,"Mampang Prapatan, Jakarta Selatan",2014,149000000,Jakarta Selatan,Toyota,Rush,2013-2017,11,46757779,10,124
54,Mazda Biante 2.0 Skyactiv AT 2017,"Pasar Minggu, Jakarta Selatan",2017,150000000,Jakarta Selatan,Mazda,Biante,2013-2017,8,64570082,5,28
55,Toyota Alphard G ATPM,"Cilandak, Jakarta Selatan",2012,286000000,Jakarta Selatan,Toyota,Alphard,2008-2012,13,72697363,10,21
56,Mercedes Benz GLC200 AMG Night Edition 2019 white x3 c300 c200 320i,"Kebayoran Baru, Jakarta Selatan",2019,499000000,Jakarta Selatan,Mercedes,Benz,2018-2022,6,265189059,6,27
57,HONDA CR-V TURBO PRESTIGE 1.5 A/T 2019,"Pasar Minggu, Jakarta Selatan",2019,318000000,Jakarta Selatan,Honda,Honda,2018-2022,6,168998238,2,84
58,Toyota Vellfire Welcab (KURSI RODA) Z 2.4 CBU AT Putih 2013/2014,"Kebayoran Lama, Jakarta Selatan",2013,350000000,Jakarta Selatan,Toyota,Vellfire,2013-2017,12,98850338,10,150
59,[ LOW KM ] Toyota Vellfire Z 2.4 Golden Eye CBU AT Hitam 2014/2015,"Kebayoran Lama, Jakarta Selatan",2014,308000000,Jakarta Selatan,Toyota,Vellfire,2013-2017,11,96653664,10,150
60,Pajak Panjang - Toyota Kijang Innova 2.0 Venturer Bensin-AT 2017(KGV),"Pulo Gadung, Jakarta Timur",2017,286000000,Jakarta Timur,Toyota,Kijang,2013-2017,8,123113622,10,98
61,Pajak Panjang - Daihatsu Terios 1.5 TX ADVENTURE Bensin-AT 2014(UYE),"Pulo Gadung, Jakarta Timur",2014,128000000,Jakarta Timur,Daihatsu,Terios,2013-2017,11,40167756,1,145
62,DP Rendah - Nissan Serena 2.0 Highway Star Bensin-AT 2013(BRG),"Pulo Gadung, Jakarta Timur",2013,108100000,Jakarta Timur,Nissan,Serena,2013-2017,12,30530633,8,130
63,Pajak Panjang - Toyota Sienta 1.5 V Bensin-MT 2018,"Pulo Gadung, Jakarta Timur",2018,147000000,Jakarta Timur,Toyota,Sienta,2018-2022,7,70309644,10,131
64,Pajak Panjang - Daihatsu Sigra 1.0 D Bensin-MT 2022(POP),"Pulo Gadung, Jakarta Timur",2022,94000000,Jakarta Timur,Daihatsu,Sigra,2018-2022,3,68526000,1,132
65,Daihatsu AYLA X 1.0  MT 2022 Hitam Premium Condition - B1065DKH,"Kebayoran Lama, Jakarta Selatan",2022,104000000,Jakarta Selatan,Daihatsu,Ayla,2018-2022,3,75816000,1,25
