,Nama_Produk,Lokasi,Tahun,Price,Wilayah,Merek,Model,Periode,Usia,Harga_Terkoreksi,Merek_encoded,Model_encoded
523,[ LOW KM ] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT White 2022/2023,"Menteng, Jakarta Pusat",2022,1036000000,Jakarta Pusat,Toyota,Alphard,2018-2022,3,755244000,10,21
524,HONDA BRIO E SATYA 1.2 AT 2018,"Cempaka Putih, Jakarta Pusat",2018,115000000,Jakarta Pusat,Honda,Honda,2018-2022,7,55004144,2,84
525,2022 Toyota Fortuner VRZ 2.8 GR Sport 4x2,"Gambir, Jakarta Pusat",2022,495000000,Jakarta Pusat,Toyota,Fortuner,2018-2022,3,360855000,10,74
526,[PAJAK PANJANG] Toyota Alphard 2.5 G ATPM Black on Beige AT 2015/2016,"Tebet, Jakarta Selatan",2015,450000000,Jakarta Selatan,Toyota,Alphard,2013-2017,10,156905298,10,21
527,[ LOW KM ] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2022/2023,"Setia Budi, Jakarta Selatan",2022,1017000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,741393000,10,21
528,TOYOTA AGYA GR TWO TONE 1.2 MT BISA KAMO BANTU TDP 7JT SAMPE APPROV,"Menteng, Jakarta Pusat",2022,127000000,Jakarta Pusat,Toyota,Toyota,2018-2022,3,92583000,10,148
529,[PILOT SEAT] Toyota Alphard 2.5 G ATPM TSS AT Black On Beige 2021/2022,"Cempaka Putih, Jakarta Pusat",2021,895000000,Jakarta Pusat,Toyota,Alphard,2018-2022,4,587209500,10,21
530,[OLX Mobbi] DP 5% !! Toyota Calya Putih 1.2 G AT 2022 DKD,"Cilandak, Jakarta Selatan",2022,150000000,Jakarta Selatan,Toyota,Calya,2018-2022,3,109350000,10,33
531,[OLX Mobbi] DP 5% !! Toyota Agya Abu 1.2 G MT 2018 KKR,"Cilandak, Jakarta Selatan",2018,101000000,Jakarta Selatan,Toyota,Agya,2018-2022,7,48307987,10,17
532,[OLX Mobbi] DP 5% !! Daihatsu Rocky 1.2 X MT 2022 CIB,"Cilandak, Jakarta Selatan",2022,161000000,Jakarta Selatan,Daihatsu,Rocky,2018-2022,3,117369000,1,123
533,[OLX Mobbi] DP 5% !! Honda BR-V Abu 1.5 E MT 2016 BKE,"Cilandak, Jakarta Selatan",2016,144000000,Jakarta Selatan,Honda,Br-V,2013-2017,9,55788550,2,30
534,Toyota Alphard 2.5 G ATPM Black on Beige AT 2015 Km 124Rb Record,"Sawah Besar, Jakarta Pusat",2015,450000000,Jakarta Pusat,Toyota,Alphard,2013-2017,10,156905298,10,21
535,Toyota CALYA G 1.2  AT 2018 Abu-abu  B2398UKA DP Minim Angsruan RIngan,"Kebayoran Lama, Jakarta Selatan",2018,114000000,Jakarta Selatan,Toyota,Calya,2018-2022,7,54525847,10,33
536,‼️TDP 0 RUPIAH‼️- Mazda CX-3 CX3 GT / Grand Touring 2.0 Bensin AT 2019,"Gambir, Jakarta Pusat",2019,255000000,Jakarta Pusat,Mazda,Cx-3,2018-2022,6,135517455,5,51
537,Mitsubishi Pajero Sport Dakar Ultimate AT Hitam 2019/2020,"Tambora, Jakarta Barat",2019,385000000,Jakarta Barat,Mitsubishi,Pajero,2018-2022,6,204604785,7,119
538,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT White  2022/2023","Setia Budi, Jakarta Selatan",2022,945000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,688905000,10,21
539,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT White  2022/2023","Cempaka Putih, Jakarta Pusat",2022,945000000,Jakarta Pusat,Toyota,Alphard,2018-2022,3,688905000,10,21
540,NISSAN GRAND LIVINA XV 1.5 AT BISA KAMI BANTU TDP 7JT SAMPE APPROV2014,"Menteng, Jakarta Pusat",2014,87000000,Jakarta Pusat,Nissan,Nissan,2013-2017,11,27301522,8,116
541,[ PAJAKPANJANG ] Toyota Alphard 2.5 G ATPM Black on Beige AT 2015/2016,"Setia Budi, Jakarta Selatan",2015,450000000,Jakarta Selatan,Toyota,Alphard,2013-2017,10,156905298,10,21
542,Honda HRV 2015 Manual MT HR-V 2016 HRV 2017 Type S hr-v m/t,"Tebet, Jakarta Selatan",2015,155000000,Jakarta Selatan,Honda,Hrv,2013-2017,10,54045158,2,86
543,Honda Accord VTIL Tahun 2008 Automatic Hitam,"Cempaka Putih, Jakarta Pusat",2008,109000000,Jakarta Pusat,Honda,Accord,2008-2012,17,18178128,2,16
544,Mercedes-Benz ML320 2000 Bensin,"Menteng, Jakarta Pusat",2000,107000000,Jakarta Pusat,Mercedes,-Benz,1998-2002,25,7681508,6,1
545,[ LOW KM ] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT 2022/2023,"Tebet, Jakarta Selatan",2022,1023000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,745767000,10,21
546,TOYOTA CALYA G 1.2 manual BISA KAMI BANTU TDP 7JT SAMPE APPROVE 2021,"Menteng, Jakarta Pusat",2021,117000000,Jakarta Pusat,Toyota,Toyota,2018-2022,4,76763700,10,148
547,[OLX Mobbi] DP 5% !! Toyota Camry Merah 2.5 V AT 2019 7ZJ,"Tajurhalang, Bogor Kab.",2019,351000000,Bogor Kab.,Toyota,Camry,2018-2022,6,186535791,10,34
548,[OLX Mobbi] DP 5% !! Toyota Voxy Hitam 2.0 AT 2019 SIL,"Cilandak, Jakarta Selatan",2019,334000000,Jakarta Selatan,Toyota,Voxy,2018-2022,6,177501294,10,154
549,[OLX Mobbi] DP 5% !! Toyota Corolla Altis 1.8 V AT 2021 7AR,"Cilandak, Jakarta Selatan",2021,288000000,Jakarta Selatan,Toyota,Corolla,2018-2022,4,188956800,10,44
550,[OLX Mobbi] DP 5% Toyota Raize Abu 1.2 G Bensin-MT 2022 FAK,"Cilandak, Jakarta Selatan",2022,165000000,Jakarta Selatan,Toyota,Raize,2018-2022,3,120285000,10,122
551,Hyundai Staria 2.2 2WD Signature 7 Seater Diesel AT Hitam 2021/2022,"Senen, Jakarta Pusat",2021,693000000,Jakarta Pusat,Hyundai,Staria,2018-2022,4,454677300,3,139
552,[ WARRANTY ] Honda Odyssey 2.4 S CVT AT Silver 2014/2015,"Kemayoran, Jakarta Pusat",2014,196000000,Jakarta Pusat,Honda,Odyssey,2013-2017,11,61506877,2,117
553,[ TANGAN PERTAMA ] Toyota Kijang Innova Reborn 2.4 G Diesel 2023/2024,"Tanah Abang, Jakarta Pusat",2023,365000000,Jakarta Pusat,Toyota,Kijang,2023-2027,2,295650000,10,98
554,(DP: 0+ Cashback 200JT) BMW X7 2023 Xdrive 40i M Sport low km,"Setia Budi, Jakarta Selatan",2023,1650000000,Jakarta Selatan,BMW,X7,2023-2027,2,1336500000,0,163
555,"[ LOW KM ] Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT White 2023/2024","Gambir, Jakarta Pusat",2023,1027000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,831870000,10,21
556,"[ LOW KM ] Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT White 2023/2024","Pasar Baru, Jakarta Pusat",2023,1027000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,831870000,10,21
557,Mercedes Benz C200 CGi AVG Facelift 2012,"Kemayoran, Jakarta Pusat",2012,159000000,Jakarta Pusat,Mercedes,Benz,2008-2012,13,40415667,6,27
558,TOYOTA CAMRY V 2.5 AT BISA KAMI BANTU TDP 7JT SAMPE APPROV 2016,"Menteng, Jakarta Pusat",2016,197000000,Jakarta Pusat,Toyota,Toyota,2013-2017,9,76321836,10,148
559,Mitsubishi colt T120ss 2003 Box,"Gambir, Jakarta Pusat",2003,33500000,Jakarta Pusat,Mitsubishi,Colt,2003-2007,22,3298983,7,42
560,Toyota Yaris G MT thn. 2015,"Taman Sari, Jakarta Barat",2015,139000000,Jakarta Barat,Toyota,Yaris,2013-2017,10,48466303,10,169
561,[OLX Mobbi] DP 5% Toyota Agya Abu 1.0 G Bensin-MT 2017 KYC,"Cilandak, Jakarta Selatan",2017,94000000,Jakarta Selatan,Toyota,Agya,2013-2017,8,40463918,10,17
562,[OLX Mobbi] DP 5% Mitsubishi Xpander Silver 1.5 Exceed MT 2018 ZKJ,"Cilandak, Jakarta Selatan",2018,166000000,Jakarta Selatan,Mitsubishi,Xpander,2018-2022,7,79397285,7,167
563,[OLX Mobbi] DP 5% Toyota Fortuner Abu 2.5 G VNT TRD Solar-AT 2014 UJJ,"Cilandak, Jakarta Selatan",2014,273000000,Jakarta Selatan,Toyota,Fortuner,2013-2017,11,85670293,10,74
564,[OLX Mobbi] DP 5% !! Toyota Yaris 1.5 TRD S Heykers MT 2017 UAN,"Cilandak, Jakarta Selatan",2017,166000000,Jakarta Selatan,Toyota,Yaris,2013-2017,8,71457557,10,169
565,Full orisinil cat Toyota Voxy 2.0 at 2021 nik 2020 putih antik 42 rb,"Palmerah, Jakarta Barat",2020,345000000,Jakarta Barat,Toyota,Voxy,2018-2022,5,203719050,10,154
566,BMW X5 XDrive40i AT 2019 Hitam B723BLW,"Cempaka Putih, Jakarta Pusat",2019,825000000,Jakarta Pusat,BMW,X5,2018-2022,6,438438825,0,161
567,TOYOTA INNOVA V 2.5 DISEL AT BISA KAMI BANTU TDP 7JT SAMPE APPROVE2016,"Menteng, Jakarta Pusat",2016,297000000,Jakarta Pusat,Toyota,Toyota,2013-2017,9,115063885,10,148
568,BMW M2 Competition F87 LCI,"Cempaka Putih, Jakarta Pusat",2019,999000000,Jakarta Pusat,BMW,M2,2018-2022,6,530909559,0,104
569,[LOW KM 29R ] Toyota Alphard 2.5 G ATPM TSS AT Brown 2020/2021,"Kemayoran, Jakarta Pusat",2020,845000000,Jakarta Pusat,Toyota,Alphard,2018-2022,5,498964050,10,21
570,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT Black 2023/2024","Gambir, Jakarta Pusat",2023,1040000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,842400000,10,21
571,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT Black 2023/2024","Tanah Abang, Jakarta Pusat",2023,1040000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,842400000,10,21
572,TOYOTA SIENTA Q 1.5 AT BISA KAMI BANTU TDP 7JT SAMPE APPROV 2018,"Menteng, Jakarta Pusat",2018,157000000,Jakarta Pusat,Toyota,Toyota,2018-2022,7,75092613,10,148
573,Honda BRV BR-V BR V Prestige 1.5 CVT Sensing AT Abu 2022/2023,"Senen, Jakarta Pusat",2022,239000000,Jakarta Pusat,Honda,Brv,2018-2022,3,174231000,2,32
574,HONDA BR-V PRESTIGE SENSING 1.5 AT BISA KAMI BANTU TDP 7JT 2023,"Menteng, Jakarta Pusat",2023,237000000,Jakarta Pusat,Honda,Honda,2023-2027,2,191970000,2,84
575,[OLX Mobbi] DP 5% Toyota Agya Silver 1.0 G Bensin-MT 2014 TYL,"Cilandak, Jakarta Selatan",2014,81000000,Jakarta Selatan,Toyota,Agya,2013-2017,11,25418658,10,17
576,[OLX Mobbi] DP 5% !! Wuling Cortez 1.8 L Lux i-AMT AT 2017 TZF,"Cilandak, Jakarta Selatan",2017,140000000,Jakarta Selatan,Wuling,Cortez,2013-2017,8,60265409,11,46
577,[OLX Mobbi] DP 5% !! Mazda CX-5 Abu-abu 2.5 AT 2018 SYU,"Cilandak, Jakarta Selatan",2018,291000000,Jakarta Selatan,Mazda,Cx-5,2018-2022,7,139184398,5,52
578,[OLX Mobbi] DP 5% !! Honda CRV Hitam 2.4 RM3 AT 2015 WJC,"Cilandak, Jakarta Selatan",2015,197000000,Jakarta Selatan,Honda,Crv,2013-2017,10,68689653,2,49
579,[LOW KM] Toyota Innova Zenix Q Hybrid Modelista 2023,"Menteng, Jakarta Pusat",2023,489000000,Jakarta Pusat,Toyota,Innova,2023-2027,2,396090000,10,90
580,Toyota Camry 2.5L Hybrid At 2012 Hitam,"Cempaka Putih, Jakarta Pusat",2012,155000000,Jakarta Pusat,Toyota,Camry,2008-2012,13,39398920,10,34
581,Honda HRV HR-V HR V 1.8 Prestige RS Sunroof AT Merah 2015/2016,"Pasar Baru, Jakarta Pusat",2015,209000000,Jakarta Pusat,Honda,Hrv,2013-2017,10,72873794,2,86
582,HONDA HR-V E MUGGEN 1.5 AT BISA KAMI BANTU TDP 7JT SAMPE APPROV 2017,"Menteng, Jakarta Pusat",2017,207000000,Jakarta Pusat,Honda,Honda,2013-2017,8,89106712,2,84
583,[ LOW KM ] Toyota Alphard 2.5 G ATPM TSS Pilot Seat AT Black 2021/2022,"Kemayoran, Jakarta Pusat",2021,974000000,Jakarta Pusat,Toyota,Alphard,2018-2022,4,639041400,10,21
584,Mercedes Benz Mercy GLC200 AMG Line (X253) CKD AT HITAM 2022/2023,"Menteng, Jakarta Pusat",2022,815000000,Jakarta Pusat,Mercedes,Benz,2018-2022,3,594135000,6,27
585,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT White 2023/2024","Gambir, Jakarta Pusat",2023,1025000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,830250000,10,21
586,"[ TSS ] Toyota Alphard 2,5 G ATPM Pilot Seat AT White 2023/2024","Senen, Jakarta Pusat",2023,1025000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,830250000,10,21
587,[OLX Mobbi] Toyota Calya Hitam 1.2 G Bensin-AT 2023 6ZC,"Cilandak, Jakarta Selatan",2023,144000000,Jakarta Selatan,Toyota,Calya,2023-2027,2,116640000,10,33
588,[OLX Mobbi] DP 5% !! Daihatsu Xenia Silver 1.5 R Deluxe MT 2021 DFA,"Cilandak, Jakarta Selatan",2021,164000000,Jakarta Selatan,Daihatsu,Xenia,2018-2022,4,107600400,1,164
589,[OLX Mobbi] DP 5% !! Honda Brio Satya Abu 1.2 E MT 2019 7AF,"Cilandak, Jakarta Selatan",2019,128000000,Jakarta Selatan,Honda,Brio,2018-2022,6,68024448,2,31
590,[OLX Mobbi] DP 5% !! Nissan X-Trail Hitam 2.0 AT 2016 BAL,"Cilandak, Jakarta Selatan",2016,163000000,Jakarta Selatan,Nissan,Xtrail,2013-2017,9,63149540,8,168
591,[KM ANTIK] Honda Jazz RS 1.5 E GE8 MMC AT Facelift Silver 2013/2014,"Kemayoran, Jakarta Pusat",2013,165000000,Jakarta Pusat,Honda,Jazz,2013-2017,12,46600874,2,93
592,[ PAJAK PANJANG ] Toyota Fortuner VRZ GR Sport 2.8 AT Hitam 2022/2023,"Cempaka Putih, Jakarta Pusat",2022,488000000,Jakarta Pusat,Toyota,Fortuner,2018-2022,3,355752000,10,74
593,[TSS] Toyota Alphard 2.5 G ATPM Pilot Seat AT Black On Beige 2023/2024,"Kemayoran, Jakarta Pusat",2023,1040000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,842400000,10,21
594,NISSAN XTRAIL 2.5 XT AT BISA KAMI BANTU TDP 7JT SAMPE APPROVW 2016,"Menteng, Jakarta Pusat",2016,147000000,Jakarta Pusat,Nissan,Nissan,2013-2017,9,56950812,8,116
595,[ PILOT SEAT ] Toyota Alphard 2.5 G ATPM TSS AT Black On Beige 2021,"Setia Budi, Jakarta Selatan",2021,895000000,Jakarta Selatan,Toyota,Alphard,2018-2022,4,587209500,10,21
596,BMW 740i 3.0L pure excellence 2017,"Cempaka Putih, Jakarta Pusat",2017,695000000,Jakarta Pusat,BMW,740I,2013-2017,8,299174711,0,13
597,TOYOTA HARRIER 2.4 L AT BISA KAMI BANTU TDP 7JT SAMPE APPROVE 2011,"Menteng, Jakarta Pusat",2011,157000000,Jakarta Pusat,Toyota,Toyota,2008-2012,14,35916564,10,148
598,[OLX Mobbi] Toyota Rush Silver 1.5 GR Sport MT 2022 KZR,"Cilandak, Jakarta Selatan",2022,242000000,Jakarta Selatan,Toyota,Rush,2018-2022,3,176418000,10,124
599,[OLX Mobbi] DP 5% !! Toyota Agya Hitam 1.2 G MT 2021 TRO,"Cilandak, Jakarta Selatan",2021,128000000,Jakarta Selatan,Toyota,Agya,2018-2022,4,83980800,10,17
600,[OLX Mobbi] DP 5% !! Daihatsu Ayla 1.2 R Bensin-MT 2017 PVC,"Cilandak, Jakarta Selatan",2017,109000000,Jakarta Selatan,Daihatsu,Ayla,2013-2017,8,46920926,1,25
601,[OLX Mobbi] DP 5% !! Toyota Yaris Kuning 1.5 TRD S AT 2020 SRQ,"Cilandak, Jakarta Selatan",2020,205000000,Jakarta Selatan,Toyota,Yaris,2018-2022,5,121050450,10,169
602,BMW 218i Grand Coupe Sport 2022,"Tebet, Jakarta Selatan",2022,550000000,Jakarta Selatan,BMW,218I,2018-2022,3,400950000,0,2
603,Mitsubishi Pajero 2.4 Dakar 2021,"Senen, Jakarta Pusat",2021,460000000,Jakarta Pusat,Mitsubishi,Pajero,2018-2022,4,301806000,7,119
604,[ SUNROOF ] Mazda CX5 Elite Bose Camera360 Facelift Merah 2022/2023,"Kemayoran, Jakarta Pusat",2022,399000000,Jakarta Pusat,Mazda,Cx5,2018-2022,3,290871000,5,57
605,[ SUNROOF ] Mazda CX5 Elite Bose Camera360 Facelift Merah 2022/2023,"Matraman, Jakarta Timur",2022,399000000,Jakarta Timur,Mazda,Cx5,2018-2022,3,290871000,5,57
606,TOYOTA CAMRY  2.4 V AT BISA KAMI BANTU TDP 7JT SAMPE APPROVE 2010,"Menteng, Jakarta Pusat",2010,117000000,Jakarta Pusat,Toyota,Toyota,2008-2012,15,24089262,10,148
607,Honda Accord vtil matic 2013,"Tebet, Jakarta Selatan",2013,177000000,Jakarta Selatan,Honda,Accord,2013-2017,12,49990028,2,16
608,Honda Freed psd at 2011,"Tebet, Jakarta Selatan",2011,122500000,Jakarta Selatan,Honda,Freed,2008-2012,14,28024071,2,75
609,"[ LOW KM ]Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT Black 2022/2023","Gambir, Jakarta Pusat",2022,1017000000,Jakarta Pusat,Toyota,Alphard,2018-2022,3,741393000,10,21
610,"[ LOW KM ]Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT Black 2022/2023","Menteng, Jakarta Pusat",2022,1017000000,Jakarta Pusat,Toyota,Alphard,2018-2022,3,741393000,10,21
611,"Dijual Honda CR-V Turbo Prestige 2018 – Tangan Pertama, Matic, KM Rend","Kemayoran, Jakarta Pusat",2018,340000000,Jakarta Pusat,Honda,Cr-V,2018-2022,7,162620946,2,47
612,[OLX Mobbi] DP 5% !! Toyota Yaris Putih 1.5 E MT 2016 TKB,"Cilandak, Jakarta Selatan",2016,147000000,Jakarta Selatan,Toyota,Yaris,2013-2017,9,56950812,10,169
613,[OLX Mobbi] DP 5% !! Wuling Almaz RS 1.5 T EX 7Seat AT 2023 FKU,"Cilandak, Jakarta Selatan",2023,291000000,Jakarta Selatan,Wuling,Almaz,2023-2027,2,235710000,11,20
614,[OLX Mobbi] DP 5% !! Toyota Yaris Silver 1.5 G AT 2018 BZX,"Cilandak, Jakarta Selatan",2018,167000000,Jakarta Selatan,Toyota,Yaris,2018-2022,7,79875582,10,169
615,[OLX Mobbi] DP 5% !! Toyota Voxy Putih 2.0 AT 2018 BMT,"Cilandak, Jakarta Selatan",2018,307000000,Jakarta Selatan,Toyota,Voxy,2018-2022,7,146837148,10,154
616,Mercedes Benz (W213) Avantgarde Facelift 2.0L Turbo Tahun NIK 2017,"Menteng, Jakarta Pusat",2017,378000000,Jakarta Pusat,Mercedes,Benz,2013-2017,8,162716605,6,27
617,BMW 730Li NIK 2019,"Menteng, Jakarta Pusat",2019,750000000,Jakarta Pusat,BMW,730Li,2018-2022,6,398580750,0,12
618,HONDA BRIO 2018 Merah 1.2 E AT Mulus Full Original Jarang Pakai,"Bogor Utara - Kota, Bogor Kota",2018,123000000,Bogor Kota,Honda,Honda,2018-2022,7,58830519,2,84
619,Mazda CX5 CX-5 CX 5 Elite Bose Camera360 Facelift Merah 2022/2023,"Sawah Besar, Jakarta Pusat",2022,399000000,Jakarta Pusat,Mazda,Cx5,2018-2022,3,290871000,5,57
620,[ LOW KM 11RB ] Mazda CX3 CX-3 CX 3 2.0 Pro Sunroof Abu 2021/2022,"Tanah Abang, Jakarta Pusat",2021,295000000,Jakarta Pusat,Mazda,Cx3,2018-2022,4,193549500,5,55
621,[PAJAK PANJANG] Toyota Alphard 2.5 G ATPM Black on Beige AT 2015/2016,"Kemayoran, Jakarta Pusat",2015,450000000,Jakarta Pusat,Toyota,Alphard,2013-2017,10,156905298,10,21
622,Toyota Alphard 2.5 G TSS ATPM 2023 Putih Pilot Seat Km17rb mdl 2022,"Cempaka Putih, Jakarta Pusat",2023,975000000,Jakarta Pusat,Toyota,Alphard,2023-2027,2,789750000,10,21
623,Toyota Kijang Innova Venturer 2.4 Diesel AT Putih 2021/2022,"Menteng, Jakarta Pusat",2021,440000000,Jakarta Pusat,Toyota,Kijang,2018-2022,4,288684000,10,98
624,[OLX Mobbi] DP 5% !! Toyota Calya Putih 1.2 G AT 2023 HKI,"Cilandak, Jakarta Selatan",2023,146000000,Jakarta Selatan,Toyota,Calya,2023-2027,2,118260000,10,33
625,[OLX Mobbi] DP 5% !! Honda Jazz Merah 1.5 RS AT 2019 KOK,"Cilandak, Jakarta Selatan",2019,221000000,Jakarta Selatan,Honda,Jazz,2018-2022,6,117448461,2,93
626,[OLX Mobbi] DP 5% !! Mitsubishi Xpander 1.5 Sport AT 2018 TZT,"Cilandak, Jakarta Selatan",2018,181000000,Jakarta Selatan,Mitsubishi,Xpander,2018-2022,7,86571739,7,167
627,[OLX Mobbi] DP 5% !! Daihatsu Ayla Silver 1.2 R AT 2018 BZW,"Cilandak, Jakarta Selatan",2018,105000000,Jakarta Selatan,Daihatsu,Ayla,2018-2022,7,50221175,1,25
628,BMW X4 XDRIVR28I M SPORT 2017,"Johar Baru, Jakarta Pusat",2017,415000000,Jakarta Pusat,BMW,X4,2013-2017,8,178643892,0,160
629,Toyota HiACE Premio 2.8 Diesel 12 Seater MT Manual Silver 2023/2024,"Gambir, Jakarta Pusat",2023,655000000,Jakarta Pusat,Toyota,Hiace,2023-2027,2,530550000,10,82
630,Mazda CX-8 2020 Bensin,"Cempaka Putih, Jakarta Pusat",2020,399000000,Jakarta Pusat,Mazda,Cx-8,2018-2022,5,235605510,5,54
631,[OLX Mobbi] DP 5% !! Mazda Biante Putih 2.0 Bensin-AT 2015 BBN,"Cilandak, Jakarta Selatan",2015,180000000,Jakarta Selatan,Mazda,Biante,2013-2017,10,62762119,5,28
632,[OLX Mobbi] DP 5% !! Daihatsu Ayla 1.2 R Deluxe AT 2018 TZK,"Cilandak, Jakarta Selatan",2018,119000000,Jakarta Selatan,Daihatsu,Ayla,2018-2022,7,56917331,1,25
633,[OLX Mobbi] DP 5% !! Honda Brio Satya 1.2 E AT 2019 UOE,"Cilandak, Jakarta Selatan",2019,149000000,Jakarta Selatan,Honda,Brio,2018-2022,6,79184709,2,31
634,[OLX Mobbi] DP 5% !! Honda HR-V 1.5 E SE AT 2018 WYB,"Cilandak, Jakarta Selatan",2018,214000000,Jakarta Selatan,Honda,Hr-V,2018-2022,7,102355537,2,85
635,MITSUBISHI XPANDER GLS 2023 1.5 AT ULTIMATE LOOK KM.14RB #F2ST,"Setia Budi, Jakarta Selatan",2023,225000000,Jakarta Selatan,Mitsubishi,Mitsubishi,2023-2027,2,182250000,7,112
636,(KM40000)BMW 320i SPORT LCI F30 2017 NIK 2016 FACELIFT KMRENDAH,"Kemayoran, Jakarta Pusat",2016,275000000,Jakarta Pusat,BMW,320I,2013-2017,9,106540634,0,4
637,[ PILOT SEAT ] Toyota Alphard 2.5 G ATPM TSS AT Black On Beige 2021/20,"Tebet, Jakarta Selatan",2021,895000000,Jakarta Selatan,Toyota,Alphard,2018-2022,4,587209500,10,21
638,[ SUNROOF ] Mazda CX5 CX-5 CX 5 Elite Bose Facelift Merah 2022/2023,"Gambir, Jakarta Pusat",2022,399000000,Jakarta Pusat,Mazda,Cx5,2018-2022,3,290871000,5,57
639,Hyundai Stargazer Prime 1.5 4x2 AT Abu NIK 2023/2024,"Kemayoran, Jakarta Pusat",2023,229000000,Jakarta Pusat,Hyundai,Stargazer,2023-2027,2,185490000,3,137
640,"[ LOW KM ] Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT Black2022/2023","Setia Budi, Jakarta Selatan",2022,1023000000,Jakarta Selatan,Toyota,Alphard,2018-2022,3,745767000,10,21
641,"[ LOW KM ] Toyota Alphard 2,5 G ATPM TSS Pilot Seat AT Black2022/2023","Senen, Jakarta Pusat",2022,1023000000,Jakarta Pusat,Toyota,Alphard,2018-2022,3,745767000,10,21
642,bmw 730li 2018 g12 b48 turbo not 740li termurah,"Menteng, Jakarta Pusat",2018,677000000,Jakarta Pusat,BMW,Bmw,2018-2022,7,323807001,0,29
643,(Dp 25jt - Km 27rb - Pajak 03/26) Honda HR-V se cvt 2023 Like a New,"Tebet, Jakarta Selatan",2023,325000000,Jakarta Selatan,Honda,Hr-V,2023-2027,2,263250000,2,85
644,Pajak Panjang - Honda Brio Satya 1.2 E Bensin-MT 2015 Merah (7EQ),"Bogor Selatan - Kota, Bogor Kota",2015,96000000,Bogor Kota,Honda,Brio,2013-2017,10,33473130,2,31
645,Pajak Panjang - Daihatsu Ayla 1.0 X Bensin-MT 2016(NK),"Pulo Gadung, Jakarta Timur",2016,69000000,Jakarta Timur,Daihatsu,Ayla,2013-2017,9,26732014,1,25
646,Pajak Panjang - Toyota Calya 1.2 G Bensin-AT 2019(JI),"Pulo Gadung, Jakarta Timur",2019,114000000,Jakarta Timur,Toyota,Calya,2018-2022,6,60584274,10,33
647,DP Rendah - Toyota Agya 1.2 G TRD Sportivo Bensin-AT 2017(CON),"Pulo Gadung, Jakarta Timur",2017,115000000,Jakarta Timur,Toyota,Agya,2013-2017,8,49503729,10,17
648,Nissan Serena 2.0 HWS AT 2021 Hitam PREMIUM B1119DFJ,"Jagakarsa, Jakarta Selatan",2021,308000000,Jakarta Selatan,Nissan,Serena,2018-2022,4,202078800,8,130
649,Toyota Harrier 2.4 L Prem 2010,"Jakarta Pusat, Jakarta D.K.I.",2010,165000000,Jakarta D.K.I.,Toyota,Harrier,2008-2012,15,33972037,10,81
650,Toyota Avanza 2023 Bensin,"Pademangan, Jakarta Utara",2023,218000000,Jakarta Utara,Toyota,Avanza,2023-2027,2,176580000,10,24
651,[ TSS ] Toyota Alphard 2.5 G ATPM Pilot Seat AT White PUTIH 2023 2024,"Pademangan, Jakarta Utara",2023,1025000000,Jakarta Utara,Toyota,Alphard,2023-2027,2,830250000,10,21
652,Mitsubishi Colt Diesel Double  Box Long 5.7m CDD 125PsL FE74 L 2020,"Cengkareng, Jakarta Barat",2020,375000000,Jakarta Barat,Mitsubishi,Colt,2018-2022,5,221433750,7,42
653,[ TSS ] Toyota Alphard 2.5 G ATPM Pilot Seat AT Black hitam 2023 2024,"Pademangan, Jakarta Utara",2023,1040000000,Jakarta Utara,Toyota,Alphard,2023-2027,2,842400000,10,21
654,2021 Hyundai Santafe Santa fe 2.5 Bensin Panoramic TDP38jt,"Pademangan, Jakarta Utara",2021,399000000,Jakarta Utara,Hyundai,Santafe,2018-2022,4,261783900,3,128
655,"Honda Accord 2010 VTi-L AT – Siap Pakai, Odometer Rendah!","Batuceper, Tangerang Kota",2010,125000000,Tangerang Kota,Honda,Accord,2008-2012,15,25736392,2,16
656,"(Promo Tdp 15jt) Toyota Sienta 1.5 Q AT 2017 Putih, KM 88rb","Menteng, Jakarta Pusat",2017,169000000,Jakarta Pusat,Toyota,Sienta,2013-2017,8,72748958,10,131
